Operator_Name,Facility_Name,Physical_Facility_Address,State,Truck,Chemical_Products,Petroleum_Products,Liquified_Gasses_Products,NGL,Biofuel,Vegetable_Oil,Waste,Liquid_Type_Detail,Capacity_Gallons,Lat,Lng
"Center Point Terminal Company, LLC",,"552 River Rd, Glenmont, NY 12077",NY,Y,,Y,Y,,Y,,,Gasoline|Distillate|Biodiesel|Kerosene|Butane,88326000,42.582971,-73.7663028
Buckeye Partners,,"Rensselaer, NY 12144",NY,Y,,,,,,,,,,42.6405748,-73.7447525
Superior Carriers,,"2201 W Washington St, Stockton, CA 95203",CA,Y,,,,,,,,,,37.9459568,-121.3223945
Arrow Reload Systems Inc,,"2600 N Going St, Portland, OR 97217",OR,Y,,,,,,,,,,45.555905,-122.693898
International-Matex Tank Terminals (IMTT),,"24420 West Durkee Rd. Channahon, IL 60410",IL,Y,Y,Y,,,,,,Specialty chemicals|petroleum products,29652000,41.410247,-88.2065135
Petro Marine Services,,"4755 Homer Spit Rd, Homer, AK 99603",AK,Y,,,,,,,,,,59.6013119,-151.4113334
Bulkmatic Transport CO,,"291 Catawissa Ave, Williamsport, PA 17701",PA,Y,Y,Y,,,,,,,,41.229285,-77.0647475
Energy Transfer LP,,"2450 Farm-To-Market 3057, Bay City, TX 77414",TX,Y,,,,,,,,,,31,-100
Shell,,"111 State St, Sewaren, NJ 07077",NJ,Y,,,,,,,,,,40.5394129,-74.2607941
Energy Transfer,,1000 Crown Point Road Westville NJ 08093,NJ,Y,,,,,,,,,,39.8661776,-75.1402256
Watco,,"702 Washington Ave, Dravosburg, PA 15034",PA,N,Y,Y,,,,,,"Diesel|caustic soda|asphalt|""""other liquid products""""",8400000,40.3540426,-79.8811179
TransMontaigne Partners LLC,,"425 River Rd, East Liverpool, OH 43920",OH,Y,,,,,,,,,9576000,40.6215173,-80.5643664
Burlington Junction,,"1510 Bluff Rd, Burlington, IA 52601",IA,Y,Y,Y,,,,,,,,40.8236381,-91.1032859
Kinder Morgan,Fairless Hills,"1 Sinter Road Fairless Hills, PA 19030",PA,Y,,,,,,,,,6300000,40.178663,-74.867837
TransMontaigne Partners LLC,,"2630 Broadway Ave, Evansville, IN 47712",IN,Y,,,,,,,,,10290000,37.9694096,-87.6055968
Plains All American Pipeline,,"G Ave, Seaford, VA 23696",VA,Y,,,,Y,,,,,,37.126061,-76.502764
Clean Harbors Environmental Services Inc,,"4475 S Dort Hwy, Burton, MI 48529",MI,Y,Y,Y,,,,,,,,42.985558,-83.6533297
"Ergon Terminaling, Inc.",,"9995 Ohio River Boulevard, Newell, WV 26050",WV,Y,,,,,,,,,,40.6141524,-80.5869971
Buckeye Partners,,"1312 S Front St, Wilmington, NC 28401",NC,Y,,,,,,,,,,34.2191035,-77.9468904
Kinder Morgan,,"1710 Woodbine St, Wilmington, NC 28401",NC,Y,Y,Y,,,,,,Liquified Asphalt|Specialty chemicals|petroleum products,34363000,34.2106027,-77.9506905
Zenith Energy Management LLC,,"437 Industrial Ave, Star City, WV 26505",WV,Y,,Y,,,,,,Distillate,2321000,39.6598312,-79.9898196
Kinder Morgan,,"4064 Winters Chapel Rd, Doraville, GA 30360",GA,Y,Y,Y,,,,,,Ethanol|Diesel|blending stocks,22565000,33.9115703,-84.2702429
"Colonial Terminals, Inc.",,"1002 S Front St, Wilmington, NC 28401",NC,Y,Y,Y,,,,,,Specialty chemicals|petroleum products|Solvents|Acids|USP Food Grade Products,30670000,34.222569,-77.9473124
Kinder Morgan,,"3340 River Road Wilmington, NC 28412",NC,Y,Y,,,,,Y,,vegetable oil|Commodity chemicals,19068000,34.183284,-77.951435
